from,to,is_immune
adipocyte of epicardial fat of left ventricle,fat,FALSE
osteoclast,bone,FALSE
adipocyte of breast,fat,FALSE
cell of skeletal muscle,muscle,FALSE
ganglion interneuron,neuron,FALSE
muscle cell,muscle,FALSE
Purkinje cell,neuron,FALSE
stellate neuron,neuron,FALSE
ON-bipolar cell,neuron,FALSE
forebrain radial glial cell,glial,FALSE
L2/3 intratelencephalic projecting glutamatergic neuron,neuron,FALSE
cerebral cortex neuron,neuron,FALSE
inhibitory motor neuron,neuron,FALSE
tuft cell of colon,epithelial,FALSE
respiratory goblet cell,secretory,FALSE
progenitor cell of endocrine pancreas,progenitor,FALSE
epithelial fate stem cell,epithelial,FALSE
enteroendocrine cell of small intestine,endocrine,FALSE
keratocyte,epithelial,FALSE
endocardial cell,endothelial,FALSE
cardiac mesenchymal cell,stromal,FALSE
